N,GPU_SIEVE,CPU_SIEVE,CPU_CLASSIC
10,0.000084,0.000000,0.000004
20,0.000008,0.000000,0.000001
30,0.000006,0.000001,0.000002
40,0.000006,0.000001,0.000003
50,0.000005,0.000001,0.000004
60,0.000005,0.000001,0.000006
70,0.000005,0.000001,0.000007
80,0.000004,0.000001,0.000009
90,0.000004,0.000001,0.000010
100,0.000004,0.000001,0.000012
110,0.000005,0.000002,0.000014
120,0.000004,0.000002,0.000016
130,0.000004,0.000002,0.000018
140,0.000005,0.000002,0.000020
150,0.000004,0.000002,0.000022
160,0.000005,0.000002,0.000025
170,0.000004,0.000002,0.000027
180,0.000004,0.000002,0.000029
190,0.000004,0.000003,0.000032
200,0.000006,0.000003,0.000035
210,0.000005,0.000003,0.000037
220,0.000005,0.000003,0.000039
230,0.000004,0.000003,0.000042
240,0.000004,0.000003,0.000045
250,0.000004,0.000003,0.000047
260,0.000007,0.000004,0.000050
270,0.000005,0.000004,0.000077
280,0.000005,0.000004,0.000056
290,0.000005,0.000004,0.000059
300,0.000005,0.000004,0.000062
310,0.000007,0.000004,0.000065
320,0.000008,0.000004,0.000068
330,0.000008,0.000004,0.000071
340,0.000007,0.000004,0.000074
350,0.000006,0.000005,0.000079
360,0.000008,0.000005,0.000081
370,0.000007,0.000005,0.000086
380,0.000011,0.000007,0.000140
390,0.000013,0.000005,0.000142
400,0.000024,0.000005,0.000090
410,0.000028,0.000005,0.000131
420,0.000012,0.000005,0.000105
430,0.000010,0.000007,0.000210
440,0.000012,0.000006,0.000107
450,0.000014,0.000006,0.000113
460,0.000011,0.000006,0.000175
470,0.000048,0.000006,0.000121
480,0.000026,0.000006,0.000155
490,0.000011,0.000006,0.000157
500,0.000011,0.000006,0.000126
510,0.000013,0.000007,0.000214
520,0.000010,0.000007,0.000137
530,0.000013,0.000007,0.000140
540,0.000019,0.000008,0.000149
550,0.000019,0.000007,0.000149
560,0.000018,0.000021,0.000189
570,0.000018,0.000010,0.000291
580,0.000033,0.000008,0.000161
590,0.000014,0.000008,0.000219
600,0.000012,0.000008,0.000169
610,0.000013,0.000008,0.000175
620,0.000011,0.000009,0.000178
630,0.000010,0.000008,0.000182
640,0.000012,0.000018,0.000211
650,0.000030,0.000009,0.000388
660,0.000012,0.000018,0.000248
670,0.000030,0.000012,0.000362
680,0.000011,0.000009,0.000204
690,0.000016,0.000009,0.000236
700,0.000011,0.000013,0.000370
710,0.000009,0.000009,0.000217
720,0.000012,0.000010,0.000222
730,0.000010,0.000010,0.000226
740,0.000013,0.000010,0.000234
750,0.000011,0.000010,0.000235
760,0.000010,0.000010,0.000245
770,0.000012,0.000010,0.000246
780,0.000044,0.000010,0.000316
790,0.000013,0.000014,0.000367
800,0.000034,0.000011,0.000295
810,0.000014,0.000011,0.000294
820,0.000026,0.000012,0.000271
830,0.000032,0.000011,0.000273
840,0.000010,0.000011,0.000282
850,0.000010,0.000011,0.000329
860,0.000011,0.000011,0.000289
870,0.000011,0.000012,0.000296
880,0.000012,0.000012,0.000316
890,0.000011,0.000012,0.000315
900,0.000026,0.000017,0.000551
910,0.000028,0.000012,0.000310
920,0.000045,0.000012,0.000352
930,0.000012,0.000027,0.000522
940,0.000012,0.000012,0.000410
950,0.000012,0.000014,0.000350
960,0.000012,0.000013,0.000354
970,0.000011,0.000017,0.000519
980,0.000011,0.000022,0.000395
990,0.000013,0.000014,0.000387
1000,0.000011,0.000013,0.000353
1010,0.000014,0.000014,0.000367
1020,0.000011,0.000014,0.000374
1030,0.000011,0.000014,0.000486
1040,0.000029,0.000013,0.000475
1050,0.000009,0.000013,0.000378
1060,0.000027,0.000014,0.000441
1070,0.000011,0.000014,0.000404
